id,title,content,publication_date,source_url,is_duplicate,category
42,"These ships disappeared in Lake Superior a century ago. Watch as they're found again","The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","2024-01-29 12:42:45",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,0,Others
43,"Europe's economic security plan needs to play both defense and offense","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/79d59ede37de02ce93d5eb6105dbab7b.jpg" /><p>The European Union this week <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://ec.europa.eu/commission/presscorner/detail/en/IP_24_363" rel="noopener noreferrer" target="_blank">published a raft of proposals</a> aimed at bolstering the bloc’s economic security, including how to better scrutinize inbound investments, monitor risks associated with outbound investments,  and regulate exports of sensitive technologies. </p><p><a href="https://qz.com/europe-china-economic-security-1851199793">Read more...</a></p>","2024-01-29 12:42:46",https://qz.com/europe-china-economic-security-1851199793,0,Others
44,"Even when wives make as much as husbands, they still do more at home","• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why
• Opinion: The overlooked problem with raising the retirement age for Social Security","2024-01-29 12:42:46",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,0,Others
45,"The Fed hasn't killed the economy yet","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/8aa21efe6ed575d1b3f855fa7ff9f615.jpg" /><p>Lots of people would love it if the Federal Reserve cut interest rates soon. Investors want cheaper money. Homeowners want cheaper mortgages. Consumers want cheaper credit card bills. And for a while, there was <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://qz.com/speculation-about-eventual-rate-cuts-is-rising-but-fed-1851088754" rel="noopener noreferrer" target="_blank">a lot of pressure</a> on the Fed to give them what they wanted out of fears that holding rates too high would <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://www.epi.org/blog/the-fed-should-stand-pat-on-further-interest-rate-hikes-at-this-weeks-meeting-inflation-is-easing-even-as-the-labor-market-remains-strong/" rel="noopener noreferrer" target="_blank">dam…</a></p><p><a href="https://qz.com/fed-interest-rate-cuts-not-coming-soon-1851197420">Read more...</a></p>","2024-01-29 12:42:46",https://qz.com/fed-interest-rate-cuts-not-coming-soon-1851197420,0,Others
46,"Podcast: One country musician is calling for other artists to oppose assault rifles",,"2024-01-29 12:42:46",https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,0,Others
47,"Tesla’s time in the sun is over as EV imports are soaring","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/2508d5a0a857815754da45e28b26bbbc.jpg" /><p>In a shareholder <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q4-2023-Update.pdf" rel="noopener noreferrer" target="_blank">letter Wednesday</a> (Jan. 25), Tesla said that vehicle volume growth may be “notably lower” than the rate from a year ago.<br /></p><p><a href="https://qz.com/tesla-outlook-ev-import-soar-1851196877">Read more...</a></p>","2024-01-29 12:42:46",https://qz.com/tesla-outlook-ev-import-soar-1851196877,0,Others
48,"Top US Navy admiral defends non-binary sailor amid some Republican criticism","The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is "particularly proud of this sailor."","2024-01-29 12:42:46",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,0,Others
49,"Bidets save you money and reduce waste — we tested the best options out there",,"2024-01-29 12:42:47",https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,0,Others
50,"A head-to-toe guide of how men should dress this spring, and where they should shop",,"2024-01-29 12:42:47",https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,0,Others
51,"The beloved Dyson Supersonic hair dryer is at its lowest price ever",,"2024-01-29 12:42:47",https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,0,Others
52,"Mifepristone saved my life","The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.","2024-01-29 12:42:48",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,0,Others
53,"Taxes are due tomorrow. Here's how to file for an extension",,"2024-01-29 12:42:48",https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,0,Others
54,"Recap: 'Succession' finds dark humor in the aftershocks","After the shock came the aftershocks, the power vacuum, and perhaps most significantly and impressively, the laughs, as "Succession" pivoted to face life after Logan Roy, in an episode that finally put the HBO show's title into full flower.","2024-01-29 12:42:48",https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,0,Others
